date_key,fulldate,date,month,year,quarter
382014,8/3/2014,3,8,2014,3
792014,9/7/2014,7,9,2014,3
9112014,11/9/2014,9,11,2014,4
28122014,12/28/2014,28,12,2014,4
1522015,2/15/2015,15,2,2015,1
1572014,7/15/2014,15,7,2014,3
12102014,10/12/2014,12,10,2014,4
16112014,11/16/2014,16,11,2014,4
21122014,12/21/2014,21,12,2014,4
1812015,1/18/2015,18,1,2015,1
3182014,8/31/2014,31,8,2014,3
19102014,10/19/2014,19,10,2014,4
23112014,11/23/2014,23,11,2014,4
822015,2/8/2015,8,2,2015,1
5102014,10/5/2014,5,10,2014,4
14122014,12/14/2014,14,12,2014,4
2512015,1/25/2015,25,1,2015,1
2772014,7/27/2014,27,7,2014,3
2482014,8/24/2014,24,8,2014,3
2112014,11/2/2014,2,11,2014,4
122015,2/1/2015,1,2,2015,1
282014,8/2/2014,2,8,2014,3
2092014,9/20/2014,20,9,2014,3
29112014,11/29/2014,29,11,2014,4
722015,2/7/2015,7,2,2015,1
1682014,8/16/2014,16,8,2014,3
25102014,10/25/2014,25,10,2014,4
13122014,12/13/2014,13,12,2014,4
3112015,1/31/2015,31,1,2015,1
6122014,12/6/2014,6,12,2014,4
1422015,2/14/2015,14,2,2015,1
1112014,11/1/2014,1,11,2014,4
20122014,12/20/2014,20,12,2014,4
782014,8/7/2014,7,8,2014,3
492014,9/4/2014,4,9,2014,3
2102014,10/2/2014,2,10,2014,4
6112014,11/6/2014,6,11,2014,4
11122014,12/11/2014,11,12,2014,4
112015,1/1/2015,1,1,2015,1
622015,2/6/2015,6,2,2015,1
982014,8/9/2014,9,8,2014,3
692014,9/6/2014,6,9,2014,3
4102014,10/4/2014,4,10,2014,4
8112014,11/8/2014,8,11,2014,4
1232015,3/12/2015,12,3,2015,1
11102014,10/11/2014,11,10,2014,4
15112014,11/15/2014,15,11,2014,4
27122014,12/27/2014,27,12,2014,4
242015,4/2/2015,2,4,2015,2
2792014,9/27/2014,27,9,2014,3
1332015,3/13/2015,13,3,2015,1
482014,8/4/2014,4,8,2014,3
2582014,8/25/2014,25,8,2014,3
1592014,9/15/2014,15,9,2014,3
3112014,11/3/2014,3,11,2014,4
8122014,12/8/2014,8,12,2014,4
2612015,1/26/2015,26,1,2015,1
1782014,8/17/2014,17,8,2014,3
2192014,9/21/2014,21,9,2014,3
732015,3/7/2015,7,3,2015,1
2822015,2/28/2015,28,2,2015,1
2222015,2/22/2015,22,2,2015,1
832015,3/8/2015,8,3,2015,1
412015,1/4/2015,4,1,2015,1
2722015,2/27/2015,27,2,2015,1
882014,8/8/2014,8,8,2014,3
592014,9/5/2014,5,9,2014,3
10102014,10/10/2014,10,10,2014,4
21112014,11/21/2014,21,11,2014,4
212015,1/2/2015,2,1,2015,1
17102014,10/17/2014,17,10,2014,4
28112014,11/28/2014,28,11,2014,4
3012015,1/30/2015,30,1,2015,1
132015,3/1/2015,1,3,2015,1
1492014,9/14/2014,14,9,2014,3
682014,8/6/2014,6,8,2014,3
182014,8/1/2014,1,8,2014,3
1082014,8/10/2014,10,8,2014,3
2472014,7/24/2014,24,7,2014,3
582014,8/5/2014,5,8,2014,3
3172014,7/31/2014,31,7,2014,3
1482014,8/14/2014,14,8,2014,3
2572014,7/25/2014,25,7,2014,3
3072014,7/30/2014,30,7,2014,3
1182014,8/11/2014,11,8,2014,3
2182014,8/21/2014,21,8,2014,3
1382014,8/13/2014,13,8,2014,3
2272014,7/22/2014,22,7,2014,3
1192014,9/11/2014,11,9,2014,3
2972014,7/29/2014,29,7,2014,3
392014,9/3/2014,3,9,2014,3
2082014,8/20/2014,20,8,2014,3
992014,9/9/2014,9,9,2014,3
1792014,9/17/2014,17,9,2014,3
2392014,9/23/2014,23,9,2014,3
29102014,10/29/2014,29,10,2014,4
1092014,9/10/2014,10,9,2014,3
1292014,9/12/2014,12,9,2014,3
192014,9/1/2014,1,9,2014,3
892014,9/8/2014,8,9,2014,3
2292014,9/22/2014,22,9,2014,3
1692014,9/16/2014,16,9,2014,3
292014,9/2/2014,2,9,2014,3
2892014,9/28/2014,28,9,2014,3
1392014,9/13/2014,13,9,2014,3
18102014,10/18/2014,18,10,2014,4
1892014,9/18/2014,18,9,2014,3
13102014,10/13/2014,13,10,2014,4
1992014,9/19/2014,19,9,2014,3
2682014,8/26/2014,26,8,2014,3
2592014,9/25/2014,25,9,2014,3
15102014,10/15/2014,15,10,2014,4
7112014,11/7/2014,7,11,2014,4
4112014,11/4/2014,4,11,2014,4
12112014,11/12/2014,12,11,2014,4
13112014,11/13/2014,13,11,2014,4
14112014,11/14/2014,14,11,2014,4
8102014,10/8/2014,8,10,2014,4
1122014,12/1/2014,1,12,2014,4
22112014,11/22/2014,22,11,2014,4
5112014,11/5/2014,5,11,2014,4
10112014,11/10/2014,10,11,2014,4
27112014,11/27/2014,27,11,2014,4
19112014,11/19/2014,19,11,2014,4
1102014,10/1/2014,1,10,2014,4
26112014,11/26/2014,26,11,2014,4
31102014,10/31/2014,31,10,2014,4
18112014,11/18/2014,18,11,2014,4
30102014,10/30/2014,30,10,2014,4
11112014,11/11/2014,11,11,2014,4
30112014,11/30/2014,30,11,2014,4
17112014,11/17/2014,17,11,2014,4
23102014,10/23/2014,23,10,2014,4
25112014,11/25/2014,25,11,2014,4
20112014,11/20/2014,20,11,2014,4
26122014,12/26/2014,26,12,2014,4
1212015,1/12/2015,12,1,2015,1
23122014,12/23/2014,23,12,2014,4
19122014,12/19/2014,19,12,2014,4
25122014,12/25/2014,25,12,2014,4
812015,1/8/2015,8,1,2015,1
1412015,1/14/2015,14,1,2015,1
312015,1/3/2015,3,1,2015,1
30122014,12/30/2014,30,12,2014,4
1112015,1/11/2015,11,1,2015,1
1012015,1/10/2015,10,1,2015,1
15122014,12/15/2014,15,12,2014,4
612015,1/6/2015,6,1,2015,1
31122014,12/31/2014,31,12,2014,4
712015,1/7/2015,7,1,2015,1
512015,1/5/2015,5,1,2015,1
18122014,12/18/2014,18,12,2014,4
12122014,12/12/2014,12,12,2014,4
24122014,12/24/2014,24,12,2014,4
29122014,12/29/2014,29,12,2014,4
912015,1/9/2015,9,1,2015,1
1912015,1/19/2015,19,1,2015,1
22122014,12/22/2014,22,12,2014,4
1322015,2/13/2015,13,2,2015,1
1222015,2/12/2015,12,2,2015,1
1922015,2/19/2015,19,2,2015,1
1622015,2/16/2015,16,2,2015,1
1722015,2/17/2015,17,2,2015,1
1822015,2/18/2015,18,2,2015,1
922015,2/9/2015,9,2,2015,1
1122015,2/11/2015,11,2,2015,1
2022015,2/20/2015,20,2,2015,1
322015,2/3/2015,3,2,2015,1
2122015,2/21/2015,21,2,2015,1
2322015,2/23/2015,23,2,2015,1
1032015,3/10/2015,10,3,2015,1
2912015,1/29/2015,29,1,2015,1
222015,2/2/2015,2,2,2015,1
1132015,3/11/2015,11,3,2015,1
1022015,2/10/2015,10,2,2015,1
422015,2/4/2015,4,2,2015,1
1472014,7/14/2014,14,7,2014,3
2872014,7/28/2014,28,7,2014,3
2382014,8/23/2014,23,8,2014,3
2072014,7/20/2014,20,7,2014,3
1282014,8/12/2014,12,8,2014,3
1582014,8/15/2014,15,8,2014,3
2282014,8/22/2014,22,8,2014,3
2672014,7/26/2014,26,7,2014,3
2982014,8/29/2014,29,8,2014,3
7102014,10/7/2014,7,10,2014,4
1982014,8/19/2014,19,8,2014,3
2492014,9/24/2014,24,9,2014,3
3082014,8/30/2014,30,8,2014,3
2882014,8/28/2014,28,8,2014,3
16102014,10/16/2014,16,10,2014,4
24112014,11/24/2014,24,11,2014,4
1612015,1/16/2015,16,1,2015,1
1512015,1/15/2015,15,1,2015,1
17122014,12/17/2014,17,12,2014,4
932015,3/9/2015,9,3,2015,1
2422015,2/24/2015,24,2,2015,1
632015,3/6/2015,6,3,2015,1
522015,2/5/2015,5,2,2015,1
2622015,2/26/2015,26,2,2015,1
1172014,7/11/2014,11,7,2014,3
2172014,7/21/2014,21,7,2014,3
1072014,7/10/2014,10,7,2014,3
3092014,9/30/2014,30,9,2014,3
1272014,7/12/2014,12,7,2014,3
2782014,8/27/2014,27,8,2014,3
14102014,10/14/2014,14,10,2014,4
1882014,8/18/2014,18,8,2014,3
2372014,7/23/2014,23,7,2014,3
1672014,7/16/2014,16,7,2014,3
1872014,7/18/2014,18,7,2014,3
1972014,7/19/2014,19,7,2014,3
972014,7/9/2014,9,7,2014,3
20102014,10/20/2014,20,10,2014,4
3102014,10/3/2014,3,10,2014,4
9102014,10/9/2014,9,10,2014,4
2992014,9/29/2014,29,9,2014,3
1712015,1/17/2015,17,1,2015,1
6102014,10/6/2014,6,10,2014,4
27102014,10/27/2014,27,10,2014,4
22102014,10/22/2014,22,10,2014,4
24102014,10/24/2014,24,10,2014,4
21102014,10/21/2014,21,10,2014,4
26102014,10/26/2014,26,10,2014,4
28102014,10/28/2014,28,10,2014,4
2412015,1/24/2015,24,1,2015,1
3122014,12/3/2014,3,12,2014,4
4122014,12/4/2014,4,12,2014,4
7122014,12/7/2014,7,12,2014,4
2122014,12/2/2014,2,12,2014,4
9122014,12/9/2014,9,12,2014,4
10122014,12/10/2014,10,12,2014,4
5122014,12/5/2014,5,12,2014,4
16122014,12/16/2014,16,12,2014,4
2012015,1/20/2015,20,1,2015,1
2212015,1/22/2015,22,1,2015,1
2812015,1/28/2015,28,1,2015,1
1312015,1/13/2015,13,1,2015,1
2312015,1/23/2015,23,1,2015,1
2112015,1/21/2015,21,1,2015,1
2712015,1/27/2015,27,1,2015,1
1772014,7/17/2014,17,7,2014,3
1372014,7/13/2014,13,7,2014,3
672014,7/6/2014,6,7,2014,3
2692014,9/26/2014,26,9,2014,3
472014,7/4/2014,4,7,2014,3
872014,7/8/2014,8,7,2014,3
1142015,4/11/2015,11,4,2015,2
532015,3/5/2015,5,3,2015,1
432015,3/4/2015,4,3,2015,1
232015,3/2/2015,2,3,2015,1
1532015,3/15/2015,15,3,2015,1
1432015,3/14/2015,14,3,2015,1
742015,4/7/2015,7,4,2015,2
1632015,3/16/2015,16,3,2015,1
1732015,3/17/2015,17,3,2015,1
2032015,3/20/2015,20,3,2015,1
2832015,3/28/2015,28,3,2015,1
2332015,3/23/2015,23,3,2015,1
2232015,3/22/2015,22,3,2015,1
3132015,3/31/2015,31,3,2015,1
2132015,3/21/2015,21,3,2015,1
2432015,3/24/2015,24,3,2015,1
2642015,4/26/2015,26,4,2015,2
332015,3/3/2015,3,3,2015,1
572014,7/5/2014,5,7,2014,3
2732015,3/27/2015,27,3,2015,1
2042015,4/20/2015,20,4,2015,2
1542015,4/15/2015,15,4,2015,2
772014,7/7/2014,7,7,2014,3
3032015,3/30/2015,30,3,2015,1
1772015,7/17/2015,17,7,2015,3
1322016,2/13/2016,13,2,2016,1
2722016,2/27/2016,27,2,2016,1
2922016,2/29/2016,29,2,2016,1
2622016,2/26/2016,26,2,2016,1
2122016,2/21/2016,21,2,2016,1
1922016,2/19/2016,19,2,2016,1
8112015,11/8/2015,8,11,2015,4
22112015,11/22/2015,22,11,2015,4
1192015,9/11/2015,11,9,2015,3
10112015,11/10/2015,10,11,2015,4
7112015,11/7/2015,7,11,2015,4
2882015,8/28/2015,28,8,2015,3
2352015,5/23/2015,23,5,2015,2
1432016,3/14/2016,14,3,2016,1
3172015,7/31/2015,31,7,2015,3
882015,8/8/2015,8,8,2015,3
16102015,10/16/2015,16,10,2015,4
29112015,11/29/2015,29,11,2015,4
2482015,8/24/2015,24,8,2015,3
692015,9/6/2015,6,9,2015,3
1752015,5/17/2015,17,5,2015,2
1362015,6/13/2015,13,6,2015,2
2842015,4/28/2015,28,4,2015,2
522016,2/5/2016,5,2,2016,1
382015,8/3/2015,3,8,2015,3
24102015,10/24/2015,24,10,2015,4
27102015,10/27/2015,27,10,2015,4
1112016,1/11/2016,11,1,2016,1
1152015,5/11/2015,11,5,2015,2
13112015,11/13/2015,13,11,2015,4
3082015,8/30/2015,30,8,2015,3
11102015,10/11/2015,11,10,2015,4
2162015,6/21/2015,21,6,2015,2
2522016,2/25/2016,25,2,2016,1
2262015,6/22/2015,22,6,2015,2
26102015,10/26/2015,26,10,2015,4
14112015,11/14/2015,14,11,2015,4
1482015,8/14/2015,14,8,2015,3
952015,5/9/2015,9,5,2015,2
562015,6/5/2015,5,6,2015,2
2522015,2/25/2015,25,2,2015,1
622014,2/6/2014,6,2,2014,1
2352014,5/23/2014,23,5,2014,2
1442014,4/14/2014,14,4,2014,2
2452014,5/24/2014,24,5,2014,2
2012014,1/20/2014,20,1,2014,1
2732014,3/27/2014,27,3,2014,1
952014,5/9/2014,9,5,2014,2
1662014,6/16/2014,16,6,2014,2
1262014,6/12/2014,12,6,2014,2
1712014,1/17/2014,17,1,2014,1
342014,4/3/2014,3,4,2014,2
2952014,5/29/2014,29,5,2014,2
1752014,5/17/2014,17,5,2014,2
852014,5/8/2014,8,5,2014,2
1612014,1/16/2014,16,1,2014,1
1142014,4/11/2014,11,4,2014,2
732014,3/7/2014,7,3,2014,1
2652014,5/26/2014,26,5,2014,2
3032014,3/30/2014,30,3,2014,1
1862014,6/18/2014,18,6,2014,2
1462014,6/14/2014,14,6,2014,2
2612014,1/26/2014,26,1,2014,1
1452014,5/14/2014,14,5,2014,2
642014,4/6/2014,6,4,2014,2
2832014,3/28/2014,28,3,2014,1
262014,6/2/2014,2,6,2014,2
1962014,6/19/2014,19,6,2014,2
1362014,6/13/2014,13,6,2014,2
742014,4/7/2014,7,4,2014,2
2442014,4/24/2014,24,4,2014,2
30122013,12/30/2013,30,12,2013,4
152014,5/1/2014,1,5,2014,2
1042014,4/10/2014,10,4,2014,2
112014,1/1/2014,1,1,2014,1
1552014,5/15/2014,15,5,2014,2
862014,6/8/2014,8,6,2014,2
962014,6/9/2014,9,6,2014,2
532014,3/5/2014,5,3,2014,1
2722014,2/27/2014,27,2,2014,1
2212014,1/22/2014,22,1,2014,1
162014,6/1/2014,1,6,2014,2
2962014,6/29/2014,29,6,2014,2
2252014,5/22/2014,22,5,2014,2
1252014,5/12/2014,12,5,2014,2
3052014,5/30/2014,30,5,2014,2
2032014,3/20/2014,20,3,2014,1
3152014,5/31/2014,31,5,2014,2
322014,2/3/2014,3,2,2014,1
1952014,5/19/2014,19,5,2014,2
662014,6/6/2014,6,6,2014,2
932014,3/9/2014,9,3,2014,1
252014,5/2/2014,2,5,2014,2
372014,7/3/2014,3,7,2014,3
132014,3/1/2014,1,3,2014,1
352014,5/3/2014,3,5,2014,2
2552014,5/25/2014,25,5,2014,2
2712014,1/27/2014,27,1,2014,1
2412014,1/24/2014,24,1,2014,1
2932014,3/29/2014,29,3,2014,1
1852014,1/31/2014,31,1,2014,1
2742014,5/18/2014,18,5,2014,2
1422014,4/27/2014,27,4,2014,2
29122013,2/14/2014,14,2,2014,1
1012014,12/29/2013,29,12,2013,4
2022014,1/10/2014,10,1,2014,1
512014,2/20/2014,20,2,2014,1
2862014,1/5/2014,5,1,2014,1
2422014,6/28/2014,28,6,2014,2
2642014,2/24/2014,24,2,2014,1
2232014,4/26/2014,26,4,2014,2
2342014,3/22/2014,22,3,2014,1
2762014,4/23/2014,23,4,2014,2
1052014,6/27/2014,27,6,2014,2
1432014,5/10/2014,10,5,2014,2
1632014,3/14/2014,14,3,2014,1
412014,3/16/2014,16,3,2014,1
31122013,1/4/2014,4,1,2014,1
552014,12/31/2013,31,12,2013,4
2542014,5/5/2014,5,5,2014,2
1652014,4/25/2014,25,4,2014,2
2752014,5/16/2014,16,5,2014,2
762014,5/27/2014,27,5,2014,2
832014,6/7/2014,7,6,2014,2
2662014,3/8/2014,8,3,2014,1
1942014,6/26/2014,26,6,2014,2
1022014,4/19/2014,19,4,2014,2
2262014,2/10/2014,10,2,2014,1
3062014,1/11/2014,11,1,2014,1
1732014,6/22/2014,22,6,2014,2
922014,6/30/2014,30,6,2014,2
1032014,3/17/2014,17,3,2014,1
1562014,2/9/2014,9,2,2014,1
722014,3/10/2014,10,3,2014,1
2362014,6/15/2014,15,6,2014,2
1542014,2/7/2014,7,2,2014,1
362014,6/23/2014,23,6,2014,2
1352014,4/15/2014,15,4,2014,2
1062014,6/3/2014,3,6,2014,2
442014,2/21/2014,21,2,2014,1
1332014,5/13/2014,13,5,2014,2
3132014,6/10/2014,10,6,2014,2
122014,4/4/2014,4,4,2014,2
2822014,3/13/2014,13,3,2014,1
1152014,3/31/2014,31,3,2014,1
1722014,2/1/2014,1,2,2014,1
2432014,2/28/2014,28,2,2014,1
2132014,5/11/2014,11,5,2014,2
1762014,2/17/2014,17,2,2014,1
2142014,3/24/2014,24,3,2014,1
2052014,3/21/2014,21,3,2014,1
542014,6/17/2014,17,6,2014,2
2162014,4/21/2014,21,4,2014,2
1242014,5/20/2014,20,5,2014,2
142014,4/5/2014,5,4,2014,2
1222014,6/21/2014,21,6,2014,2
2852014,4/12/2014,12,4,2014,2
2062014,4/1/2014,1,4,2014,2
452014,2/12/2014,12,2,2014,1
2842014,5/28/2014,28,5,2014,2
462014,6/20/2014,20,6,2014,2
1522014,5/4/2014,4,5,2014,2
2222014,4/28/2014,28,4,2014,2
1622014,6/4/2014,4,6,2014,2
1742014,2/15/2014,15,2,2014,1
2462014,2/22/2014,22,2,2014,1
232014,2/16/2014,16,2,2014,1
2562014,2/11/2014,11,2,2014,1
332014,4/17/2014,17,4,2014,2
1532014,6/24/2014,24,6,2014,2
1842014,3/2/2014,2,3,2014,1
1822014,6/25/2014,25,6,2014,2
2332014,3/3/2014,3,3,2014,1
2242014,3/15/2014,15,3,2014,1
172014,4/18/2014,18,4,2014,2
652014,2/18/2014,18,2,2014,1
2522014,3/23/2014,23,3,2014,1
1342014,4/22/2014,22,4,2014,2
1832014,7/1/2014,1,7,2014,3
2042014,5/6/2014,6,5,2014,2
1922014,2/25/2014,25,2,2014,1
2152014,4/13/2014,13,4,2014,2
2632014,3/18/2014,18,3,2014,1
30112013,4/20/2014,20,4,2014,2
632014,2/19/2014,19,2,2014,1
2112013,5/21/2014,21,5,2014,2
942014,3/26/2014,26,3,2014,1
242014,11/30/2013,30,11,2013,4
3012014,3/6/2014,6,3,2014,1
1162014,11/2/2013,2,11,2013,4
1642014,4/9/2014,9,4,2014,2
2942014,4/2/2014,2,4,2014,2
1112013,1/30/2014,30,1,2014,1
24112013,6/11/2014,11,6,2014,2
312014,4/16/2014,16,4,2014,2
28102013,4/29/2014,29,4,2014,2
22102013,11/1/2013,1,11,2013,4
12102013,11/24/2013,24,11,2013,4
6122013,1/3/2014,3,1,2014,1
2312014,10/28/2013,28,10,2013,4
1932014,10/22/2013,22,10,2013,4
17122013,10/12/2013,12,10,2013,4
1412014,12/6/2013,6,12,2013,4
2322014,1/23/2014,23,1,2014,1
822014,3/19/2014,19,3,2014,1
3042014,12/17/2013,17,12,2013,4
422014,1/14/2014,14,1,2014,1
1132014,2/23/2014,23,2,2014,1
2512014,2/8/2014,8,2,2014,1
19122013,4/30/2014,30,4,2014,2
432014,2/4/2014,4,2,2014,1
842014,3/11/2014,11,3,2014,1
2122013,1/25/2014,25,1,2014,1
16122013,12/19/2013,19,12,2013,4
9112013,3/4/2014,4,3,2014,1
4112013,4/8/2014,8,4,2014,2
2532014,12/2/2013,2,12,2013,4
8122013,12/16/2013,16,12,2013,4
22112013,11/9/2013,9,11,2013,4
26112013,11/4/2013,4,11,2013,4
212014,3/25/2014,25,3,2014,1
1812014,12/8/2013,8,12,2013,4
222014,11/22/2013,22,11,2013,4
1212014,11/26/2013,26,11,2013,4
1312014,1/2/2014,2,1,2014,1
1232014,1/18/2014,18,1,2014,1
1912014,2/2/2014,2,2,2014,1
612014,1/12/2014,12,1,2014,1
2912014,1/13/2014,13,1,2014,1
2622014,3/12/2014,12,3,2014,1
21112013,1/19/2014,19,1,2014,1
19102013,1/6/2014,6,1,2014,1
992013,1/29/2014,29,1,2014,1
2992013,2/26/2014,26,2,2014,1
2882013,11/21/2013,21,11,2013,4
2812014,10/19/2013,19,10,2013,4
9102013,9/9/2013,9,9,2013,3
752014,9/29/2013,29,9,2013,3
4102013,8/28/2013,28,8,2013,3
28112013,1/28/2014,28,1,2014,1
2982013,10/9/2013,9,10,2013,4
27122013,5/7/2014,7,5,2014,2
27102013,10/4/2013,4,10,2013,4
2782013,11/28/2013,28,11,2013,4
20122013,8/29/2013,29,8,2013,3
12122013,12/27/2013,27,12,2013,4
20102013,10/27/2013,27,10,2013,4
30102013,8/27/2013,27,8,2013,3
5122013,12/20/2013,20,12,2013,4
18102013,12/12/2013,12,12,2013,4
24102013,10/20/2013,20,10,2013,4
812014,10/30/2013,30,10,2013,4
25112013,12/5/2013,5,12,2013,4
10122013,10/18/2013,18,10,2013,4
522014,10/24/2013,24,10,2013,4
31102013,1/8/2014,8,1,2014,1
14112013,11/25/2013,25,11,2013,4
26122013,12/10/2013,10,12,2013,4
562014,1/21/2014,21,1,2014,1
23112013,2/5/2014,5,2,2014,1
792013,10/31/2013,31,10,2013,4
13112013,11/14/2013,14,11,2013,4
14122013,12/26/2013,26,12,2013,4
16112013,6/5/2014,5,6,2014,2
912014,11/23/2013,23,11,2013,4
892013,9/7/2013,7,9,2013,3
1322014,11/13/2013,13,11,2013,4
1392013,12/14/2013,14,12,2013,4
9122013,11/16/2013,16,11,2013,4
23122013,1/9/2014,9,1,2014,1
1122013,9/8/2013,8,9,2013,3
1492013,2/13/2014,13,2,2014,1
11112013,9/13/2013,13,9,2013,3
26102013,12/9/2013,9,12,2013,4
1592013,12/23/2013,23,12,2013,4
11102013,12/1/2013,1,12,2013,4
7122013,9/14/2013,14,9,2013,3
28122013,11/11/2013,11,11,2013,4
3102013,10/26/2013,26,10,2013,4
2102013,9/15/2013,15,9,2013,3
15112013,10/11/2013,11,10,2013,4
17112013,12/7/2013,7,12,2013,4
10112013,12/28/2013,28,12,2013,4
22122013,10/3/2013,3,10,2013,4
2392013,10/2/2013,2,10,2013,4
6112013,11/15/2013,15,11,2013,4
2892013,11/17/2013,17,11,2013,4
7102013,11/10/2013,10,11,2013,4
1992013,12/22/2013,22,12,2013,4
2192013,9/23/2013,23,9,2013,3
25102013,11/6/2013,6,11,2013,4
2092013,9/28/2013,28,9,2013,3
15102013,10/7/2013,7,10,2013,4
18122013,9/19/2013,19,9,2013,3
2792013,9/21/2013,21,9,2013,3
13122013,10/25/2013,25,10,2013,4
1512014,9/20/2013,20,9,2013,3
29112013,10/15/2013,15,10,2013,4
21122013,12/18/2013,18,12,2013,4
25122013,9/27/2013,27,9,2013,3
272014,12/13/2013,13,12,2013,4
1692013,1/15/2014,15,1,2014,1
6102013,11/29/2013,29,11,2013,4
21102013,12/21/2013,21,12,2013,4
3112013,12/25/2013,25,12,2013,4
692013,7/2/2014,2,7,2014,3
14102013,9/16/2013,16,9,2013,3
20112013,10/6/2013,6,10,2013,4
8102013,10/21/2013,21,10,2013,4
12112013,11/3/2013,3,11,2013,4
19112013,9/6/2013,6,9,2013,3
16102013,10/14/2013,14,10,2013,4
11122013,11/20/2013,20,11,2013,4
5102013,10/8/2013,8,10,2013,4
24122013,11/12/2013,12,11,2013,4
712014,11/19/2013,19,11,2013,4
8112013,10/16/2013,16,10,2013,4
18112013,12/11/2013,11,12,2013,4
13102013,10/5/2013,5,10,2013,4
15122013,12/24/2013,24,12,2013,4
192013,1/7/2014,7,1,2014,1
17102013,11/8/2013,8,11,2013,4
2102015,11/18/2013,18,11,2013,4
